t 1 2 jV0100 
0 -0 0 -0
0.15 -3.67382e-16 -2.06651e-21 -3.6738e-18
0.3 7.34764e-16 -2.29609e-21 7.34766e-18
0.45 -4.65486e-15 -1.86062e-20 -4.65484e-17
0.6 1.46953e-15 -6.81417e-20 1.4696e-17
0.75 -5.38962e-15 -6.60009e-20 -5.38956e-17
0.9 2.20429e-15 -1.25104e-19 2.20442e-17
1.05 9.8104e-16 -7.56467e-20 9.81116e-18
1.2 2.93906e-15 -5.77207e-20 2.93911e-17
1.35 -6.85915e-15 -6.30893e-20 -6.85909e-17
1.5 1.07792e-14 -9.24788e-20 1.07793e-16
1.65 -2.89102e-14 -1.03822e-19 -2.89101e-16
1.8 3.28303e-14 -3.00429e-19 3.28306e-16
1.95 -3.67504e-14 -2.02058e-20 -3.67504e-16
2.1 2.64596e-14 -4.28443e-19 2.64601e-16
2.25 -3.03797e-14 -1.49751e-19 -3.03796e-16
2.4 3.42998e-14 -4.23226e-19 3.43002e-16
2.55 -3.82199e-14 -1.19423e-19 -3.82198e-16
2.7 4.214e-14 -4.62419e-19 4.21405e-16
2.85 -4.60601e-14 -8.02139e-20 -4.606e-16
3 4.99802e-14 -5.01612e-19 4.99807e-16
3.15 -8.2322e-14 -2.00875e-19 -8.23218e-16
3.3 8.62421e-14 -8.78307e-19 8.6243e-16
3.45 -9.01622e-14 -7.28404e-20 -9.01621e-16
3.6 9.40823e-14 -9.35258e-19 9.40832e-16
3.75 -9.80024e-14 -3.36243e-20 -9.80024e-16
3.9 1.01922e-13 -9.74444e-19 1.01923e-15
4.05 -7.74209e-14 1.65463e-19 -7.7421e-16
4.2 5.29193e-14 -8.35999e-19 5.29201e-16
4.35 -2.84176e-14 -6.17785e-20 -2.84176e-16
4.5 3.91603e-15 -5.9097e-19 3.91662e-17
4.65 2.05856e-14 -3.06784e-19 2.05859e-16
4.8 -4.50872e-14 -3.45941e-19 -4.50869e-16
4.95 6.95888e-14 -5.5179e-19 6.95894e-16
5.1 -9.40904e-14 -1.00912e-19 -9.40903e-16
5.25 1.18592e-13 -7.96796e-19 1.18593e-15
5.4 -1.43094e-13 1.44117e-19 -1.43094e-15
5.55 1.67595e-13 -1.0418e-18 1.67596e-15
5.7 -1.92097e-13 3.89146e-19 -1.92097e-15
5.85 1.59755e-13 -1.60655e-18 1.59757e-15
6 -1.84257e-13 -4.0831e-20 -1.84257e-15
6.15 2.08758e-13 -1.6739e-18 2.0876e-15
6.3 -2.3326e-13 1.68682e-19 -2.3326e-15
6.45 2.57762e-13 -1.9189e-18 2.57763e-15
6.6 -2.82263e-13 4.13724e-19 -2.82264e-15
6.75 3.06765e-13 -2.16389e-18 3.06767e-15
6.9 -3.31266e-13 6.58766e-19 -3.31267e-15
7.05 3.55768e-13 -2.40888e-18 3.5577e-15
7.2 -3.8027e-13 9.03808e-19 -3.80271e-15
7.35 4.04771e-13 -2.65388e-18 4.04774e-15
7.5 -4.29273e-13 1.14885e-18 -4.29274e-15
7.65 4.53774e-13 -2.89887e-18 4.53777e-15
7.8 -4.78276e-13 1.39389e-18 -4.78277e-15
7.95 5.02778e-13 -3.14386e-18 5.02781e-15
