t 1 jV0100 
0 0 0 
0.15 -4.83986e-017 -4.79194e-019 
0.3 5.47114e-017 5.41697e-019 
0.45 -5.65652e-016 -5.60051e-018 
0.6 -2.98277e-016 -2.95324e-018 
0.75 -9.69396e-016 -9.59798e-018 
0.9 -5.52561e-016 -5.4709e-018 
1.05 -3.51247e-016 -3.47769e-018 
1.2 8.17567e-017 8.09473e-019 
1.35 -8.32526e-016 -8.24283e-018 
1.5 6.96113e-016 6.89221e-018 
1.65 -3.20329e-015 -3.17157e-017 
1.8 1.53957e-015 1.52432e-017 
1.95 -3.50271e-015 -3.46803e-017 
2.1 4.39933e-016 4.35577e-018 
2.25 -3.61965e-015 -3.58381e-017 
2.4 1.37111e-015 1.35753e-017 
2.55 -3.84279e-015 -3.80474e-017 
2.7 2.20993e-015 2.18805e-017 
2.85 -4.14624e-015 -4.10519e-017 
3 2.97892e-015 2.94943e-017 
3.15 -8.25466e-015 -8.17293e-017 
3.3 4.18349e-015 4.14207e-017 
3.45 -8.24007e-015 -8.15848e-017 
3.6 5.22904e-015 5.17727e-017 
3.75 -8.36376e-015 -8.28095e-017 
3.9 6.15435e-015 6.09341e-017 
4.05 -4.84775e-015 -4.79975e-017 
4.2 2.7561e-015 2.72881e-017 
4.35 -1.34711e-015 -1.33377e-017 
4.5 -6.55502e-016 -6.49012e-018 
4.65 2.14192e-015 2.12072e-017 
4.8 -4.0772e-015 -4.03684e-017 
4.95 5.62217e-015 5.56651e-017 
5.1 -7.50654e-015 -7.43222e-017 
5.25 9.09578e-015 9.00573e-017 
5.4 -1.09417e-014 -1.08333e-016 
5.55 1.25644e-014 1.244e-016 
5.7 -1.43811e-014 -1.42387e-016 
5.85 8.54066e-015 8.4561e-017 
6 -1.68472e-014 -1.66804e-016 
6.15 1.28519e-014 1.27247e-016 
6.3 -1.95539e-014 -1.93603e-016 
6.45 1.69539e-014 1.67861e-016 
6.6 -2.24426e-014 -2.22204e-016 
6.75 2.08977e-014 2.06907e-016 
6.9 -2.54689e-014 -2.52167e-016 
7.05 2.47217e-014 2.4477e-016 
7.2 -2.85992e-014 -2.83161e-016 
7.35 2.84553e-014 2.81736e-016 
7.5 -3.18083e-014 -3.14934e-016 
7.65 3.21205e-014 3.18024e-016 
7.8 -3.50768e-014 -3.47295e-016 
7.95 3.57339e-014 3.53801e-016 
8.1 -3.83904e-014 -3.80103e-016 
8.25 3.18197e-014 3.15047e-016 
8.4 -4.82496e-014 -4.77719e-016 
8.55 2.97021e-014 2.9408e-016 
8.7 -5.65467e-014 -5.59868e-016 
8.85 2.89429e-014 2.86563e-016 
9 -6.36625e-014 -6.30322e-016 
9.15 2.92108e-014 2.89216e-016 
9.3 -6.98852e-014 -6.91932e-016 
9.45 3.02555e-014 2.99559e-016 
9.6 -7.54324e-014 -7.46855e-016 
9.75 3.18875e-014 3.15717e-016 
9.9 -8.04689e-014 -7.96722e-016 
10.05 -7.04907e-014 -6.97927e-016 
10.2 -6.18139e-014 -6.12019e-016 
10.35 -5.42689e-014 -5.37316e-016 
10.5 -4.7708e-014 -4.72357e-016 
10.65 -4.20029e-014 -4.15871e-016 
10.8 -3.7042e-014 -3.66752e-016 
10.95 -3.27281e-014 -3.2404e-016 
11.1 -2.89769e-014 -2.869e-016 
11.25 -2.5715e-014 -2.54604e-016 
11.4 -2.28785e-014 -2.2652e-016 
11.55 -2.0412e-014 -2.02099e-016 
11.7 -1.82673e-014 -1.80864e-016 
11.85 -1.64023e-014 -1.62399e-016 
12 -1.47805e-014 -1.46342e-016 
12.15 -1.33703e-014 -1.32379e-016 
12.3 -1.2144e-014 -1.20238e-016 
12.45 -1.10777e-014 -1.0968e-016 
12.6 -1.01505e-014 -1.005e-016 
12.75 -9.34418e-015 -9.25166e-017 
12.9 -8.64305e-015 -8.55748e-017 
13.05 -8.03338e-015 -7.95384e-017 
13.2 -7.50323e-015 -7.42894e-017 
13.35 -7.04222e-015 -6.9725e-017 
13.5 -6.64135e-015 -6.5756e-017 
13.65 -6.29277e-015 -6.23046e-017 
13.8 -5.98965e-015 -5.93035e-017 
13.95 -5.72607e-015 -5.66938e-017 
14.1 -5.49687e-015 -5.44245e-017 
14.25 -5.29757e-015 -5.24512e-017 
14.4 -5.12426e-015 -5.07353e-017 
14.55 -4.97356e-015 -4.92432e-017 
14.7 -4.84251e-015 -4.79457e-017 
14.85 -4.72856e-015 -4.68174e-017 
15 -4.62947e-015 -4.58364e-017 
15.15 -4.54331e-015 -4.49833e-017 
15.3 -4.46838e-015 -4.42414e-017 
15.45 -4.40323e-015 -4.35963e-017 
15.6 -4.34658e-015 -4.30354e-017 
15.75 -4.29731e-015 -4.25476e-017 
15.9 -4.25447e-015 -4.21235e-017 
16.05 -4.21722e-015 -4.17547e-017 
16.2 -4.18483e-015 -4.14339e-017 
16.35 -4.15666e-015 -4.11551e-017 
