t 1 2 jL0100 
0 -10 -10 2e-10
0.02 -9.80148 -9.60444 0.198511
0.04 -9.60749 -9.22255 0.392424
0.06 -9.41701 -8.85134 0.582664
0.08 -9.23008 -8.49101 0.769129
0.1 -9.04655 -8.14118 0.951889
0.12 -8.86631 -7.80153 1.13101
0.14 -8.68921 -7.47171 1.30656
0.16 -8.51514 -7.15142 1.4786
0.18 -8.34397 -6.84035 1.64719
0.2 -8.1756 -6.53821 1.81238
0.22 -8.00991 -6.24471 1.97423
0.24 -7.84681 -5.95958 2.13279
0.26 -7.68619 -5.68254 2.28812
0.28 -7.52795 -5.41336 2.44026
0.3 -7.37201 -5.15179 2.58925
0.32 -7.21828 -4.89757 2.73515
0.34 -7.06668 -4.6505 2.878
0.36 -6.91712 -4.41034 3.01783
0.38 -6.76952 -4.17689 3.1547
0.4 -6.62383 -3.94994 3.28863
0.42 -6.47996 -3.72928 3.41966
0.44 -6.33785 -3.51474 3.54784
0.46 -6.19743 -3.30613 3.67319
0.48 -6.05866 -3.10327 3.79574
0.5 -5.92146 -2.90598 3.91554
0.52 -5.78578 -2.71411 4.03261
0.54 -5.65157 -2.5275 4.14698
0.56 -5.51878 -2.34598 4.25868
0.58 -5.38737 -2.16942 4.36774
0.6 -5.25728 -1.99767 4.47419
0.62 -5.12848 -1.8306 4.57804
0.64 -5.00092 -1.66806 4.67934
0.66 -4.87457 -1.50994 4.77809
0.68 -4.74939 -1.3561 4.87433
0.7 -4.62534 -1.20644 4.96807
0.72 -4.5024 -1.06083 5.05935
0.74 -4.38053 -0.91916 5.14817
0.76 -4.2597 -0.781332 5.23458
0.78 -4.13988 -0.647237 5.31857
0.8 -4.02105 -0.516777 5.40018
0.82 -3.90319 -0.389856 5.47942
0.84 -3.78628 -0.266382 5.55631
0.86 -3.67028 -0.146264 5.63087
0.88 -3.55518 -0.0294174 5.70313
0.9 -3.44097 0.0842416 5.77309
0.92 -3.32762 0.194793 5.84077
0.94 -3.21513 0.302314 5.9062
0.96 -3.10346 0.40688 5.96938
0.98 -2.99262 0.508563 6.03034
1 -2.88259 0.607432 6.08909
1.02 -2.77335 0.703554 6.14565
1.04 -2.6649 0.796995 6.20003
1.06 -2.55723 0.887816 6.25225
1.08 -2.45032 0.976079 6.30233
1.1 -2.34418 1.06184 6.35027
1.12 -2.23878 1.14516 6.3961
1.14 -2.13414 1.22609 6.43983
1.16 -2.03023 1.30468 6.48147
1.18 -1.92706 1.38099 6.52104
1.2 -1.82463 1.45506 6.55856
1.22 -1.72292 1.52694 6.59403
1.24 -1.62194 1.59668 6.62748
1.26 -1.52169 1.66432 6.65891
1.28 -1.42216 1.72991 6.68835
1.3 -1.32335 1.79348 6.71581
1.32 -1.22527 1.85508 6.74129
1.34 -1.1279 1.91474 6.76482
1.36 -1.03126 1.9725 6.78641
1.38 -0.935348 2.02841 6.80608
1.4 -0.840158 2.08248 6.82383
1.42 -0.745695 2.13477 6.83969
1.44 -0.651962 2.1853 6.85366
1.46 -0.558961 2.2341 6.86577
1.48 -0.466696 2.28121 6.87603
1.5 -0.37517 2.32666 6.88444
1.52 -0.284386 2.37047 6.89104
1.54 -0.194349 2.41267 6.89582
1.56 -0.105061 2.4533 6.89882
1.58 -0.0165292 2.49237 6.90003
1.6 0.0712435 2.52992 6.89948
1.62 0.158252 2.56596 6.89719
1.64 0.244491 2.60054 6.89316
1.66 0.329955 2.63366 6.88741
1.68 0.414639 2.66535 6.87996
1.7 0.498538 2.69563 6.87083
1.72 0.581645 2.72454 6.86003
1.74 0.663956 2.75208 6.84757
1.76 0.745463 2.77828 6.83348
1.78 0.826161 2.80316 6.81776
1.8 0.906045 2.82674 6.80043
1.82 0.985107 2.84905 6.78152
1.84 1.06334 2.87009 6.76104
1.86 1.14074 2.88989 6.73899
1.88 1.2173 2.90846 6.71541
1.9 1.29302 2.92583 6.69031
1.92 1.36788 2.94201 6.6637
1.94 1.44188 2.95702 6.6356
1.96 1.51502 2.97088 6.60603
1.98 1.58729 2.9836 6.575
2 1.65868 2.9952 6.54254
2.02 1.72918 3.00569 6.50866
2.04 1.79879 3.0151 6.47338
2.06 1.86751 3.02342 6.43672
2.08 1.93532 3.0307 6.39869
2.1 2.00223 3.03692 6.35931
2.12 2.06822 3.04212 6.3186
2.14 2.13328 3.0463 6.27659
2.16 2.19742 3.04948 6.23328
2.18 2.26063 3.05168 6.1887
2.2 2.3229 3.0529 6.14286
2.22 2.38423 3.05316 6.09579
2.24 2.44461 3.05248 6.0475
2.26 2.50403 3.05087 5.99801
2.28 2.56249 3.04834 5.94734
2.3 2.61999 3.0449 5.89551
2.32 2.67651 3.04057 5.84255
2.34 2.73206 3.03536 5.78846
2.36 2.78664 3.02929 5.73327
2.38 2.84022 3.02235 5.677
2.4 2.89282 3.01458 5.61967
2.42 2.94442 3.00598 5.5613
2.44 2.99503 2.99656 5.5019
2.46 3.04464 2.98633 5.4415
2.48 3.09324 2.97532 5.38012
2.5 3.14083 2.96352 5.31778
2.52 3.18741 2.95095 5.25449
2.54 3.23297 2.93763 5.19029
2.56 3.27751 2.92356 5.12518
2.58 3.32103 2.90875 5.0592
2.6 3.36353 2.89323 4.99235
2.62 3.405 2.87699 4.92466
2.64 3.44543 2.86006 4.85616
2.66 3.48484 2.84244 4.78685
2.68 3.52321 2.82414 4.71677
2.7 3.56054 2.80518 4.64593
2.72 3.59684 2.78557 4.57435
2.74 3.6321 2.76531 4.50206
2.76 3.66631 2.74443 4.42908
2.78 3.69948 2.72293 4.35542
2.8 3.73161 2.70081 4.2811
2.82 3.76269 2.67811 4.20616
2.84 3.79273 2.65482 4.1306
2.86 3.82172 2.63095 4.05446
2.88 3.84967 2.60652 3.97774
2.9 3.87657 2.58154 3.90048
2.92 3.90243 2.55602 3.82269
