t 1 2 jL0100 
0 -10 -10 1e-009 
0.02 -9.80385 -9.61161 0.196077 
0.04 -9.61139 -9.23447 0.388305 
0.06 -9.42249 -8.86821 0.576755 
0.08 -9.23701 -8.51248 0.761495 
0.1 -9.05482 -8.16695 0.942591 
0.12 -8.87579 -7.83129 1.12011 
0.14 -8.69981 -7.5052 1.2941 
0.16 -8.52675 -7.18838 1.46464 
0.18 -8.3565 -6.88052 1.63177 
0.2 -8.18896 -6.58135 1.79555 
0.22 -8.02403 -6.29061 1.95603 
0.24 -7.8616 -6.00802 2.11326 
0.26 -7.70159 -5.73334 2.26729 
0.28 -7.5439 -5.46633 2.41817 
0.3 -7.38845 -5.20674 2.56594 
0.32 -7.23515 -4.95435 2.71064 
0.34 -7.08392 -4.70895 2.85232 
0.36 -6.9347 -4.47031 2.99101 
0.38 -6.7874 -4.23825 3.12676 
0.4 -6.64195 -4.01256 3.2596 
0.42 -6.4983 -3.79304 3.38957 
0.44 -6.35638 -3.57953 3.51669 
0.46 -6.21612 -3.37183 3.64102 
0.48 -6.07747 -3.16979 3.76257 
0.5 -5.94038 -2.97323 3.88137 
0.52 -5.80479 -2.782 3.99747 
0.54 -5.67065 -2.59595 4.11088 
0.56 -5.53792 -2.41492 4.22164 
0.58 -5.40655 -2.23877 4.32977 
0.6 -5.2765 -2.06737 4.4353 
0.62 -5.14772 -1.90058 4.53826 
0.64 -5.02018 -1.73828 4.63866 
0.66 -4.89385 -1.58033 4.73654 
0.68 -4.76867 -1.42663 4.83191 
0.7 -4.64464 -1.27705 4.9248 
0.72 -4.5217 -1.13149 5.01524 
0.74 -4.39984 -0.989831 5.10323 
0.76 -4.27903 -0.851975 5.18882 
0.78 -4.15923 -0.717822 5.272 
0.8 -4.04043 -0.587275 5.35281 
0.82 -3.9226 -0.46024 5.43126 
0.84 -3.80572 -0.336628 5.50737 
0.86 -3.68977 -0.21635 5.58117 
0.88 -3.57473 -0.0993241 5.65266 
0.9 -3.46058 0.0145321 5.72188 
0.92 -3.34731 0.125297 5.78882 
0.94 -3.2349 0.233045 5.85352 
0.96 -3.12334 0.337851 5.91599 
0.98 -3.01261 0.439784 5.97624 
1 -2.9027 0.538914 6.03429 
1.02 -2.7936 0.635305 6.09017 
1.04 -2.68531 0.729021 6.14387 
1.06 -2.5778 0.820125 6.19543 
1.08 -2.47108 0.908675 6.24485 
1.1 -2.36513 0.994729 6.29215 
1.12 -2.25995 1.07834 6.33735 
1.14 -2.15553 1.15957 6.38046 
1.16 -2.05187 1.23846 6.4215 
1.18 -1.94896 1.31507 6.46048 
1.2 -1.8468 1.38944 6.49741 
1.22 -1.74539 1.46162 6.53232 
1.24 -1.64472 1.53166 6.56522 
1.26 -1.54479 1.5996 6.59611 
1.28 -1.4456 1.66548 6.62502 
1.3 -1.34714 1.72934 6.65197 
1.32 -1.24943 1.79123 6.67696 
1.34 -1.15245 1.85119 6.7 
1.36 -1.05621 1.90924 6.72113 
1.38 -0.960717 1.96543 6.74034 
1.4 -0.865959 2.01979 6.75766 
1.42 -0.771944 2.07236 6.7731 
1.44 -0.678674 2.12316 6.78667 
1.46 -0.586151 2.17224 6.7984 
1.48 -0.494378 2.21962 6.80829 
1.5 -0.403357 2.26534 6.81635 
1.52 -0.313093 2.30941 6.82261 
1.54 -0.223589 2.35188 6.82709 
1.56 -0.134849 2.39276 6.82978 
1.58 -0.0468763 2.4321 6.83072 
1.6 0.040324 2.4699 6.82991 
1.62 0.126748 2.5062 6.82738 
1.64 0.21239 2.54102 6.82313 
1.66 0.297246 2.57439 6.81719 
1.68 0.381311 2.60633 6.80956 
1.7 0.464579 2.63686 6.80027 
1.72 0.547045 2.666 6.78933 
1.74 0.628705 2.69379 6.77675 
1.76 0.709551 2.72023 6.76256 
1.78 0.78958 2.74535 6.74677 
1.8 0.868784 2.76917 6.7294 
1.82 0.947159 2.79171 6.71045 
1.84 1.0247 2.81299 6.68996 
1.86 1.1014 2.83303 6.66793 
1.88 1.17725 2.85184 6.64439 
1.9 1.25225 2.86945 6.61934 
1.92 1.32638 2.88587 6.59281 
1.94 1.39966 2.90112 6.56482 
1.96 1.47206 2.91522 6.53538 
1.98 1.54359 2.92819 6.50451 
2 1.61423 2.94003 6.47222 
2.02 1.68399 2.95077 6.43854 
2.04 1.75285 2.96042 6.40349 
2.06 1.82081 2.969 6.36707 
2.08 1.88786 2.97653 6.32931 
2.1 1.95401 2.98301 6.29023 
2.12 2.01924 2.98847 6.24985 
2.14 2.08354 2.99292 6.20818 
2.16 2.14692 2.99637 6.16524 
2.18 2.20936 2.99883 6.12105 
2.2 2.27087 3.00033 6.07563 
2.22 2.33143 3.00088 6.029 
2.24 2.39105 3.00048 5.98118 
2.26 2.44971 2.99916 5.93219 
2.28 2.50741 2.99692 5.88204 
2.3 2.56415 2.99379 5.83076 
2.32 2.61992 2.98976 5.77836 
2.34 2.67472 2.98487 5.72487 
2.36 2.72854 2.97911 5.67029 
2.38 2.78139 2.9725 5.61467 
2.4 2.83325 2.96506 5.558 
2.42 2.88412 2.95679 5.50032 
2.44 2.934 2.94772 5.44164 
2.46 2.98288 2.93784 5.38198 
2.48 3.03076 2.92718 5.32137 
2.5 3.07764 2.91575 5.25981 
2.52 3.12352 2.90356 5.19734 
2.54 3.16839 2.89061 5.13398 
2.56 3.21224 2.87693 5.06973 
2.58 3.25508 2.86252 5.00463 
2.6 3.29691 2.8474 4.93869 
2.62 3.33772 2.83157 4.87194 
2.64 3.3775 2.81506 4.80439 
2.66 3.41627 2.79787 4.73606 
2.68 3.45401 2.78 4.66698 
2.7 3.49072 2.76149 4.59717 
2.72 3.52641 2.74233 4.52664 
2.74 3.56106 2.72254 4.45542 
2.76 3.59469 2.70212 4.38352 
2.78 3.62729 2.6811 4.31098 
2.8 3.65886 2.65947 4.2378 
2.82 3.68939 2.63726 4.16401 
2.84 3.71889 2.61448 4.08963 
2.86 3.74737 2.59113 4.01469 
2.88 3.77481 2.56722 3.93919 
2.9 3.80121 2.54277 3.86317 
2.92 3.82659 2.51779 3.78664 
2.94 3.85094 2.49229 3.70962 
2.96 3.87425 2.46629 3.63213 
2.98 3.89654 2.43978 3.5542 
3 3.9178 2.41278 3.47584 
3.02 3.93804 2.38531 3.39708 
3.04 3.95725 2.35738 3.31794 
3.06 3.97544 2.32899 3.23843 
3.08 3.99261 2.30015 3.15858 
3.1 4.00876 2.27088 3.0784 
3.12 4.02389 2.2412 2.99792 
3.14 4.03801 2.21109 2.91716 
3.16 4.05112 2.18059 2.83614 
3.18 4.06323 2.1497 2.75488 
3.2 4.07433 2.11843 2.67339 
3.22 4.08443 2.0868 2.5917 
3.24 4.09353 2.0548 2.50983 
3.26 4.10163 2.02246 2.4278 
3.28 4.10875 1.98978 2.34562 
3.3 4.11488 1.95677 2.26333 
3.32 4.12003 1.92346 2.18093 
3.34 4.1242 1.88983 2.09844 
3.36 4.1274 1.85591 2.01589 
3.38 4.12963 1.82171 1.9333 
3.4 4.1309 1.78723 1.85068 
3.42 4.13121 1.7525 1.76806 
3.44 4.13057 1.7175 1.68545 
3.46 4.12899 1.68227 1.60287 
3.48 4.12646 1.64681 1.52034 
3.5 4.12299 1.61112 1.43788 
3.52 4.1186 1.57522 1.35551 
3.54 4.11328 1.53912 1.27324 
3.56 4.10704 1.50283 1.1911 
3.58 4.0999 1.46636 1.1091 
3.6 4.09185 1.42971 1.02727 
3.62 4.0829 1.39291 0.945607 
3.64 4.07307 1.35595 0.864146 
3.66 4.06235 1.31886 0.782899 
3.68 4.05075 1.28163 0.701884 
3.7 4.03829 1.24428 0.621118 
3.72 4.02497 1.20682 0.540619 
3.74 4.01079 1.16926 0.460403 
3.76 3.99577 1.1316 0.380488 
3.78 3.97991 1.09387 0.30089 
3.8 3.96322 1.05606 0.221625 
3.82 3.94571 1.01818 0.142711 
3.84 3.92739 0.980257 0.0641632 
3.86 3.90826 0.942286 -0.0140021 
3.88 3.88834 0.904279 -0.0917689 
3.9 3.86763 0.866247 -0.169122 
3.92 3.84615 0.828198 -0.246045 
3.94 3.8239 0.790142 -0.322522 
3.96 3.80088 0.752087 -0.39854 
3.98 3.77712 0.714044 -0.474083 
4 3.75262 0.676021 -0.549135 
4.02 3.72738 0.638026 -0.623683 
4.04 3.70143 0.600069 -0.697711 
4.06 3.67476 0.562158 -0.771206 
4.08 3.64739 0.524303 -0.844154 
4.1 3.61933 0.486512 -0.916541 
4.12 3.59059 0.448793 -0.988353 
4.14 3.56117 0.411155 -1.05958 
4.16 3.5311 0.373607 -1.1302 
